,time,energy_cashflow,energy_generation_costs,heat,power,simulation,soc,total_costs,unit
77,2013-01-22 01:00:00.000000,,0.0,0.0,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,,,solar_06_2
61,2013-01-22 01:00:00.000000,,0.0,0.0,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,,,solar_03_0
75,2013-01-22 01:00:00.000000,,0.0,0.0,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,,,solar_06_1
73,2013-01-22 01:00:00.000000,,0.0,0.0,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,,,solar_06_0
29,2013-01-22 01:00:00.000000,,27.5611875,0.0,1837.4125,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,,,wind_offshore_06
71,2013-01-22 01:00:00.000000,,0.0,0.0,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,,,solar_04_2
69,2013-01-22 01:00:00.000000,,0.0,0.0,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,,,solar_04_1
65,2013-01-22 01:00:00.000000,,0.0,0.0,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,,,solar_03_2
101,2013-01-22 01:00:00.000000,,25.0438725,0.0,1669.5915,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,,,wind_onshore_06_0
103,2013-01-22 01:00:00.000000,,25.0438725,0.0,1669.5915,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,,,wind_onshore_06_1
63,2013-01-22 01:00:00.000000,,0.0,0.0,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,,,solar_03_1
105,2013-01-22 01:00:00.000000,,54.103944000000006,0.0,3606.9296000000004,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,,,wind_onshore_07_0
47,2013-01-22 01:00:00.000000,,801505.0892092655,0.0,8882.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,,,OCGT_01_1
139,2013-01-22 01:00:00.000000,,0.0,,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,0.0,,battery_04_1
