name,bus0,bus1,voltage,i_nom,circuits,s_nom,r,x,b,length
merged_way/27196813-1-380+4,way/683227471-380,way/85523877-380,380,2.58,1,1698.103,1.414011,11.59489,0.00020434,47133.7
merged_way/27196813-2-220+6,way/57727004-220,way/85523877-220,220,1.29,1,491.556,4.395825,22.052389,0.00028771,73263.75
merged_way/27275258-220+3,DE183-220,way/409305507-220,220,1.29,2,983.112,1.025636,5.145276,0.00026851,34187.88
merged_way/27335805-1-220+1,way/26455019-220,way/29420322-220,220,1.29,2,983.112,0.07439,0.373189,1.95E-05,2479.66
merged_way/277828184-1-380+1,way/23284340-380,DE165-380,380,2.58,2,3396.205,0.146814,1.203877,8.49E-05,9787.62
merged_way/27854188-2-220+1,way/50319857-220,way/31367940-220,220,1.29,2,983.112,0.704973,3.536615,0.00018456,23499.1
merged_way/28112089-220+8,DE15-220,way/829116805-220,220,1.29,2,983.112,1.149736,5.767845,0.000301,38324.55
merged_way/28203625-1-380+4,way/24799890-380,way/27919734-380,380,2.58,2,3396.205,0.299219,2.453598,0.00017296,19947.95
merged_way/28203625-2-220+4,way/24799890-220,way/27919734-220,220,1.29,2,983.112,0.598248,3.001209,0.00015662,19941.59
merged_way/283908304-380+1,way/48057110-380,DE182-380,380,2.58,2,3396.205,0.243731,1.998591,0.00014089,16248.71
merged_way/283935356-220+1,way/22944791-220,way/23022100-220,220,1.29,4,1966.224,0.050678,0.254237,5.31E-05,3378.56
merged_way/284701563-220+4,DE109-220,way/51940126-220,220,1.29,2,983.112,0.36069,1.809463,9.44E-05,12023.01
merged_way/284701899-220+4,DE109-220,way/132814303-220,220,1.29,2,983.112,1.573351,7.892979,0.0004119,52445.04
merged_way/284925905-380+1,DE75-380,DE69-380,380,2.58,2,3396.205,0.072991,0.598528,4.22E-05,4866.08
merged_way/284965427-380+5,way/1076001174-380,way/32472806-380,380,2.58,2,3396.205,0.221665,1.817651,0.00012813,14777.65
merged_way/284969513-220+4,way/28452784-220,way/66038431-220,220,1.29,2,983.112,0.380595,1.909317,9.96E-05,12686.49
merged_way/28658059-220+3,way/1128250707-220,way/31024391-220,220,1.29,2,983.112,0.879408,4.411697,0.00023023,29313.6
