datetime,demand_CRM_pos,demand_CRM_neg,demand_EOM_north,demand_EOM_east,demand_EOM_west,demand_EOM_south
2019-01-03 06:45:00,2756,2827,9557.12,9557.12,22698.16,17919.6
2019-01-03 07:00:00,2756,2827,9740.800000000001,9740.800000000001,23134.4,18264.0
2019-01-03 07:15:00,2756,2827,9874.56,9874.56,23452.08,18514.8
2019-01-03 07:30:00,2756,2827,10032.64,10032.64,23827.52,18811.2
2019-01-03 07:45:00,2756,2827,10177.28,10177.28,24171.040000000005,19082.4
2019-01-03 08:00:00,2756,2827,10263.680000000002,10263.680000000002,24376.24,19244.4
2019-01-03 08:15:00,2756,2827,10333.44,10333.44,24541.920000000002,19375.2
2019-01-03 08:30:00,2756,2827,10400.64,10400.64,24701.52,19501.2
2019-01-03 08:45:00,2756,2827,10475.52,10475.52,24879.36,19641.6
2019-01-03 09:00:00,2756,2827,10544.64,10544.64,25043.52,19771.2
2019-01-03 09:15:00,2756,2827,10565.76,10565.76,25093.68,19810.8
2019-01-03 09:30:00,2756,2827,10577.92,10577.92,25122.56,19833.6
2019-01-03 09:45:00,2756,2827,10608.64,10608.64,25195.52,19891.2
2019-01-03 10:00:00,2756,2827,10638.08,10638.08,25265.44,19946.399999999998
2019-01-03 10:15:00,2756,2827,10647.68,10647.68,25288.24,19964.399999999998
2019-01-03 10:30:00,2756,2827,10677.12,10677.12,25358.16,20019.6
2019-01-03 10:45:00,2756,2827,10708.48,10708.48,25432.64,20078.399999999998
2019-01-03 11:00:00,2756,2827,10761.6,10761.6,25558.8,20178.0
2019-01-03 11:15:00,2756,2827,10818.56,10818.56,25694.08,20284.8
2019-01-03 11:30:00,2756,2827,10841.6,10841.6,25748.8,20328.0
2019-01-03 11:45:00,2756,2827,10821.12,10821.12,25700.16,20289.6
2019-01-03 12:00:00,2756,2827,10892.16,10892.16,25868.88,20422.8
2019-01-03 12:15:00,2756,2827,10849.92,10849.92,25768.56,20343.6
